Name," Url"
1. Da Andrea - Greenwich Village,https://www.yelp.com/biz/da-andrea-greenwich-village-new-york-2?osq=Restaurants
2. Valerie,https://www.yelp.com/biz/valerie-new-york?osq=Restaurants
3. Olio e Più,https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?osq=Restaurants
4. Juliana’s,https://www.yelp.com/biz/julianas-brooklyn-3?osq=Restaurants
5. Her Name Is Han,https://www.yelp.com/biz/her-name-is-han-new-york-3?osq=Restaurants
6. Ye’s Apothecary 夜莺,https://www.yelp.com/biz/yes-apothecary-%E5%A4%9C%E8%8E%BA-new-york-5?osq=Restaurants
7. Kalye,https://www.yelp.com/biz/kalye-new-york-5?osq=Restaurants
8. Soothr,https://www.yelp.com/biz/soothr-new-york-2?osq=Restaurants
9. LoveMama,https://www.yelp.com/biz/lovemama-new-york?osq=Restaurants
10. Anytime Kitchen,https://www.yelp.com/biz/anytime-kitchen-new-york-2?osq=Restaurants
11. Raku,https://www.yelp.com/biz/raku-new-york-7?osq=Restaurants
12. Thursday Kitchen,https://www.yelp.com/biz/thursday-kitchen-new-york?osq=Restaurants
13. Raku,https://www.yelp.com/biz/raku-new-york-6?osq=Restaurants
14. Izakaya MEW,https://www.yelp.com/biz/izakaya-mew-new-york-3?osq=Restaurants
15. The Parlour Room,https://www.yelp.com/biz/the-parlour-room-new-york?osq=Restaurants
16. Rubirosa,https://www.yelp.com/biz/rubirosa-new-york-2?osq=Restaurants
17. Fishmarket Restaurant,https://www.yelp.com/biz/fishmarket-restaurant-new-york?osq=Restaurants
18. Obao,https://www.yelp.com/biz/obao-new-york-3?osq=Restaurants
19. Evelina,https://www.yelp.com/biz/evelina-brooklyn-2?osq=Restaurants
20. Em Vietnamese Bistro,https://www.yelp.com/biz/em-vietnamese-bistro-brooklyn?osq=Restaurants
21. LumLum,https://www.yelp.com/biz/lumlum-new-york?osq=Restaurants
22. Time Out Market New York,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?osq=Restaurants
23. Fish Cheeks,https://www.yelp.com/biz/fish-cheeks-new-york?osq=Restaurants
24. Thai Villa,https://www.yelp.com/biz/thai-villa-new-york-2?osq=Restaurants
25. Kong Sihk Tong 港食堂,https://www.yelp.com/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york?osq=Restaurants
26. Little Collins,https://www.yelp.com/biz/little-collins-new-york-3?osq=Restaurants
27. Upstate Craft Beer & Oyster Bar,https://www.yelp.com/biz/upstate-craft-beer-and-oyster-bar-new-york-4?osq=Restaurants
28. Calle Dao Chelsea,https://www.yelp.com/biz/calle-dao-chelsea-new-york-3?osq=Restaurants
29. Hometown Bar-B-Que,https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3?osq=Restaurants
